Level_1,Level_2,Level_3,Level_4,Level_5,Level_6
health & beauty,beauty,nail care,nail tools,,
health & beauty,beauty,nail care,artificial nails & accessories,,
health & beauty,beauty,nail care,,,
health & beauty,beauty,makeup,makeup tools & accessories,,
health & beauty,beauty,makeup,lip makeup,lip plumpers,
health & beauty,beauty,makeup,lip makeup,lip gloss,
health & beauty,beauty,makeup,lip makeup,lip liners,
health & beauty,beauty,makeup,lip makeup,lip stains,
health & beauty,beauty,makeup,lip makeup,lipstick,
health & beauty,beauty,makeup,lip makeup,,
health & beauty,beauty,makeup,makeup sets & kits,,
health & beauty,beauty,makeup,face makeup,foundations,
health & beauty,beauty,makeup,face makeup,face powders,
health & beauty,beauty,makeup,face makeup,blushes,
health & beauty,beauty,makeup,face makeup,bronzers & highlighters,
health & beauty,beauty,makeup,face makeup,face primers,
health & beauty,beauty,makeup,face makeup,concealers,
health & beauty,beauty,makeup,face makeup,"bb, cc & alphabet creams",
health & beauty,beauty,makeup,face makeup,,
health & beauty,beauty,makeup,eye makeup,eyebrow products,
health & beauty,beauty,makeup,eye makeup,eyeliners,
health & beauty,beauty,makeup,eye makeup,mascara,
health & beauty,beauty,makeup,eye makeup,eye shadows,
health & beauty,beauty,makeup,eye makeup,false eyelashes & adhesives,
health & beauty,beauty,makeup,eye makeup,eye primers,
health & beauty,beauty,makeup,eye makeup,,
health & beauty,beauty,makeup,,,
health & beauty,beauty,hair care & styling,shampoos & conditioners,,
health & beauty,beauty,hair care & styling,rollers & curlers,,
health & beauty,beauty,hair care & styling,straightening & curling irons,,
health & beauty,beauty,hair care & styling,styling products,,
health & beauty,beauty,hair care & styling,hair oils & protectors,,
health & beauty,beauty,hair care & styling,hair ties & styling accessories,,
health & beauty,beauty,hair care & styling,hair cutting scissors & shears,,
health & beauty,beauty,hair care & styling,hair dryers,,
health & beauty,beauty,hair care & styling,hair extensions & wigs,,
health & beauty,beauty,hair care & styling,brushes & combs,,
health & beauty,beauty,hair care & styling,hair coloring & dyes,,
health & beauty,beauty,hair care & styling,,,
health & beauty,beauty,fragrances,men's fragrances,,
health & beauty,beauty,fragrances,women's fragrances,,
health & beauty,beauty,fragrances,kids' fragrances,,
health & beauty,beauty,fragrances,,,
health & beauty,beauty,bath & body,bubble baths,,
health & beauty,beauty,bath & body,bath salts,,
health & beauty,beauty,bath & body,body lotions & moisturizers,,
health & beauty,beauty,bath & body,body washes & soaps,,
health & beauty,beauty,bath & body,sponges & brushes,,
health & beauty,beauty,bath & body,scrubs & exfoliants,,
health & beauty,beauty,bath & body,bath oils,,
health & beauty,beauty,bath & body,bath bombs,,
health & beauty,beauty,bath & body,,,
health & beauty,beauty,,,,
health & beauty,,,,,
jewelry & watches,watches,watch accessories,,,
jewelry & watches,watches,kids' watches,,,
jewelry & watches,watches,men's watches,,,
jewelry & watches,watches,women's watches,,,
jewelry & watches,watches,,,,
jewelry & watches,jewelry,rings,,,
jewelry & watches,jewelry,necklaces,,,
jewelry & watches,jewelry,jewelry sets,,,
jewelry & watches,jewelry,lapel pins & brooches,,,
jewelry & watches,jewelry,anklets,,,
jewelry & watches,jewelry,charms & pendants,,,
jewelry & watches,jewelry,earrings,,,
jewelry & watches,jewelry,body jewelry,,,
jewelry & watches,jewelry,bracelets,,,
jewelry & watches,jewelry,,,,
jewelry & watches,,,,,
home,cleaning supplies,cleaning products & chemicals,,,
home,cleaning supplies,vacuums & floor cleaners,,,
